SHIV JI 						
						
MANTRA 						
7	सरस्वती मंत्र	ॐ ऐं सरस्वत्यै नमः।	ज्ञान, एकाग्रता और कला में निपुणता।	https://youtu.be/-NqX8zOZ62w?si=DWcjvgR9t3KYkz-D		
8	गणेश मूल मंत्र	ॐ गं गणपतये नमः।	किसी भी नए कार्य के निर्बाध आरम्भ के लिए।	https://youtu.be/Naruxgq6oMU?si=xqSFGrw15ZFcqKY-		
9	महालक्ष्मी अष्टकम	नमस्तेऽस्तु महामाये श्रीपीठे सुरपूजिते...	अष्ट-लक्ष्मी की पूर्ण कृपा पाने के लिए।	https://youtube.com/shorts/7BEYmt8EeX8?si=kqi58ODFW_qjBs1A		
10	विष्णु वंदना	शान्ताकारं भुजगशयनं पद्मनाभं सुरेशं...	जीवन में सुख, शांति और मोक्ष के लिए।	https://youtu.be/XAxNnRPoyiU?si=SzEsaZlOfS48Hd-b		
11	गायत्री मंत्र	ॐ भूर्भुवः स्वः तत्सवितुर्वरेण्यं भर्गो देवस्य धीमहि धियो यो नः प्रचोदयात्॥	आध्यात्मिक जागृति और शुद्ध बुद्धि के लिए।	https://youtu.be/nwRoHC83wx0?si=f1Akd4C3BSvXNJaE		
						
🔥 Aarti						
क्र.सं.	आरती का नाम	देवी/देवता	महत्व (Significance)	यूट्यूब लिंक (YouTube Link)		
1	ओम जय लक्ष्मी माता	माँ लक्ष्मी	धन, सुख और समृद्धि की प्राप्ति के लिए सबसे मुख्य आरती।	https://youtu.be/zdZ67AM47u8?si=Ff03RfC0f0Fll-oI		
2	जय गणेश देवा	भगवान गणेश	किसी भी पूजा की शुरुआत में विघ्न दूर करने के लिए।	https://youtu.be/Yuex2EnsGiY?si=0_Pq00ZXiWo3JeVx		
3	ओम जय जगदीश हरे	भगवान विष्णु	घर में शांति, भक्ति और प्रसन्नता के लिए सार्वभौमिक आरती।	https://youtu.be/NE3SWh9_vR4?si=oJOVnsbkOB7Qxw5b		
4	श्री कुबेर आरती	कुबेर देव	धन के देवता को प्रसन्न करने और तिजोरी भरी रखने के लिए।	https://youtu.be/c0J1WntPaDg?si=PMqDiJZ9LjbiqiFk		
						
🎶 Bhajans / 🙏 Stuti						
क्र.सं.	नाम (Bhajan/Stuti)	किसके लिए है	क्यों प्रसिद्ध है?	यूट्यूब लिंक (YouTube Link)		
1	महालक्ष्मी अष्टकम	माँ लक्ष्मी	यह माँ लक्ष्मी की सबसे शक्तिशाली स्तुति मानी जाती है।	https://youtube.com/shorts/7BEYmt8EeX8?si=kqi58ODFW_qjBs1A		
2	श्री सूक्तम	माँ लक्ष्मी	वेदों से ली गई माँ लक्ष्मी की सबसे पुरानी और शुद्ध स्तुति।	https://youtu.be/OC7LQxuhQUU?si=Dk4q0uGOrbCSfm7I		
3	श्री राम चंद्र कृपालु भजु मन	भगवान राम	भगवान राम के अयोध्या आगमन की खुशी में गाई जाने वाली स्तुति।	https://youtu.be/EiBdfBciDA0?si=nmwSs611cJ-RuV8D		
4	मैया लक्ष्मी जी की अमृतवाणी	माँ लक्ष्मी	माँ लक्ष्मी की पूरी महिमा और कथा का वर्णन।	https://youtu.be/dHaorYzhsMQ?si=-1r8kafoFsK3S4_k		
5	जय गणेश जय गणेश देवा	भगवान गणेश	सुख-कर्ता और दुख-हर्ता गणेश जी का सबसे लोकप्रिय भजन।	https://youtu.be/Yuex2EnsGiY?si=SN2TjtMVVhHmp7gl		
6	लक्ष्मी चालीसा	माँ लक्ष्मी	माँ लक्ष्मी को प्रसन्न करने के लिए सरल और सुंदर पाठ।	https://youtu.be/aLKLcvJZ2Hc?si=LghSz9KgBnH3YqXK		
7	श्री राम स्तुति	भगवान राम	दिवाली के दिन प्रभु राम की महिमा गाने के लिए श्रेष्ठ।	https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8		
8	अच्युतम केशवम कृष्ण दामोदरम	भगवान विष्णु/कृष्ण	विष्णु जी की शांत और मधुर स्तुति।	https://youtu.be/3yczGKnskts?si=kXnjK3iThd_asoFy		
9	ठुमक चलत रामचंद्र	भगवान राम	राम जी के बाल रूप का सुंदर वर्णन।	https://youtu.be/PT1CwFIoc98?si=xAYsyfQq1WC7E0z_		
10	महालक्ष्मी कवच	माँ लक्ष्मी	घर और परिवार की सुरक्षा और बरकत के लिए।	https://youtu.be/OvimStyyQWI?si=SwrQDOQ7f47RApTT		
11	विष्णु सहस्रनाम	भगवान विष्णु	विष्णु जी के 1000 नाम जो महालक्ष्मी को प्रिय हैं।	https://youtu.be/EvzntcbyjFU?si=hm8jdvkNsk7IYzFJ		
						
📖 Katha						
क्र.सं.	कथा का नाम (Story Name)	यूट्यूब लिंक (YouTube Link)				
1	श्री राम का आगमन	https://youtu.be/tj6yKxSPQZQ?si=_x0KiFTx5Dwnc27J				
2	नरकासुर वध	https://youtu.be/V5bvJlR38xE?si=Cmm8uCXgEtB9CWux				
3	माता लक्ष्मी का अवतार	https://youtu.be/BL5lLnsLUrA?si=gbst_MpkoyNGs-vd				
						
						
🪈🦚Janmashtami (Shri Krishna janmotsav)						
						
🕉️ Mantras						
क्र.सं.	मंत्र का नाम	पूरा मंत्र (Chanting)	मंत्र के लाभ (Benefits)	यूट्यूब लिंक (YouTube Link)		
1	मूल मंत्र	ॐ नमो भगवते वासुदेवाय	मोक्ष प्राप्ति और मन की शांति के लिए।	https://youtu.be/felGgBmnx-I?si=YoB5C1tli8tX3Kpx		
2	महामंत्र	हरे कृष्ण हरे कृष्ण, कृष्ण कृष्ण हरे हरे। हरे राम हरे राम, राम राम हरे हरे॥	कलियुग के पापों से मुक्ति और परम आनंद।	https://youtu.be/Zdcth9NndEA?si=cBoFKjOpIFF2NbjP		
3	कृष्ण गायत्री	ॐ देवकीनन्दनाय विद्महे वासुदेवाय धीमहि तन्नो कृष्ण: प्रचोदयात्॥	ज्ञान, बुद्धि और एकाग्रता बढ़ाने के लिए।	https://youtu.be/yzwVyns93nc?si=UqzAJ3pjM1DUhsI7		
4	संतान गोपाल मंत्र	देवकी सुत गोविंद वासुदेव जगत्पते। देहि मे तनयं कृष्ण त्वामहं शरणं गत:॥	योग्य संतान की प्राप्ति के लिए अचूक मंत्र।	https://youtube.com/shorts/U5XZNBFMFm4?si=ZQOWvCHdZfFJKL7h		
5	कृष्ण बीज मंत्र	ॐ क्लीं कृष्णाय नमः	आकर्षण शक्ति और अटके हुए काम बनाने के लिए।	https://youtu.be/WqiKUywr55o?si=sx_88WGHIxnkZoNM		
6	क्लेश नाशक मंत्र	कृष्णाय वासुदेवाय हरये परमात्मने। प्रणत क्लेशनाशाय गोविंदाय नमो नम:॥	जीवन के सभी दुखों और संकटों को दूर करने हेतु।	https://youtu.be/OLWnCrUl6yA?si=yTdHh02DhHtKHuLe		
7	शरण मंत्र	ॐ श्री कृष्णाय शरणं मम	भय दूर करने और भगवान की सुरक्षा पाने के लिए।	https://youtu.be/1y2tRqtND1Y?si=j1s6RWWKKwE9EShB		
8	गोविंद मंत्र	ॐ नमो भगवते श्रीगोविन्दाय	धन, ऐश्वर्य और सुख-सुविधाओं की प्राप्ति।	https://youtu.be/0grOjMCVG_w?si=Hnt_Ffu39XgFWHSn		
9	मधुराष्टकम	अधरं मधुरं वदनं मधुरं नयनं मधुरं हसितं मधुरम्...	कृष्ण प्रेम में डूबने और भक्ति बढ़ाने के लिए।	https://youtu.be/sdZpM8paUnM?si=nAeAA34E_6X4S8uO		
10	अच्युतम केशवम	अच्युतम केशवम कृष्ण दामोदरम राम नारायणम जानकी वल्लभम...	सुबह-शाम भगवान का ध्यान और स्मरण करने हेतु।	https://youtu.be/3yczGKnskts?si=kXnjK3iThd_asoFy		
						
🔥 Aarti						
क्र.सं.	आरती का नाम	किसके लिए है	महत्व (Significance)	यूट्यूब लिंक (YouTube Link)		
1	आरती कुंज बिहारी की	श्री कृष्ण	यह कृष्ण जी की सबसे प्रसिद्ध और प्रिय आरती है।	https://youtu.be/EMO1AT1UQf0?si=MkZfeLJzerN3VqU3		
2	जय गणेश देवा	भगवान गणेश	किसी भी पूजा की शुरुआत में सबसे पहले गणेश जी की आरती।	https://youtu.be/Yuex2EnsGiY?si=0_Pq00ZXiWo3JeVx		
3	बांके बिहारी की आरती	श्री कृष्ण	मथुरा और वृंदावन के बांके बिहारी मंदिर की मुख्य आरती।	https://youtu.be/6LO2PRgbutc?si=5jlVXHicQQJxmGEG		
4	ओम जय जगदीश हरे	भगवान विष्णु	कृष्ण जी विष्णु के अवतार हैं, इसलिए यह आरती जरूर होती है।	https://youtu.be/NE3SWh9_vR4?si=oJOVnsbkOB7Qxw5b		
						
						
🎶 Bhajans / 🙏 Stuti						
क्र.सं.	भजन/स्तुति का नाम	गायक/प्रकार	क्यों सुनें? (Importance)	यूट्यूब लिंक (YouTube Link)		
1	मधुराष्टकम (अधरं मधुरं)	स्तुति	कृष्ण जी की सुंदरता का सबसे सुंदर वर्णन।	https://youtu.be/sdZpM8paUnM?si=nAeAA34E_6X4S8uO		
2	अच्युतम केशवम कृष्ण दामोदरम	भजन	बहुत ही शांत और मधुर नाम संकीर्तन।	https://youtu.be/3yczGKnskts?si=kXnjK3iThd_asoFy		
3	यशोमती मैया से बोले नंदलाला	बाल भजन	कान्हा के बाल रूप और उनकी बातों का वर्णन।	https://youtu.be/RIYVVqu2XY4?si=zZcShWvTzV_kAWCQ		
4	गोविन्द बोलो हरि गोपाल बोलो	कीर्तन	सामूहिक रूप से गाने के लिए सबसे सरल कीर्तन।	https://youtu.be/QUw-FAmmaGw?si=EXBCGPVYhs5y2T4D		
5	नंद के आनंद भयो जय कन्हैया लाल की	उत्सव गीत	जन्म के बाद खुशी मनाने के लिए सबसे खास गाना।	https://youtu.be/dUJG4REgj8o?si=FEiQaZGLOw08y30s		
6	छोटी छोटी गईया छोटे छोटे ग्वाल	बाल भजन	बच्चों और बड़ों दोनों का पसंदीदा भजन।	https://youtu.be/XzqJUoSDHZU?si=8-LAQkUg8tq7ov6T		
7	मेरे बांके बिहारी लाल	भजन	बांके बिहारी जी के प्रति प्रेम व्यक्त करने के लिए।	https://youtu.be/P1R6Bk0C_BM?si=inh8vmHBJW8J7oYN		
8	श्याम तेरी बंसी पुकारे राधा नाम	शास्त्रीय भजन	भगवान के प्रेम और बांसुरी की महिमा।	https://youtu.be/XJqKbDxAa3U?si=8QX2YAec4EyoDiPP		
9	श्री कृष्ण गोविन्द हरे मुरारी	प्रसिद्ध मंत्र-भजन	संकटों को दूर करने वाला सुरीला भजन।	https://youtu.be/ne3Mjg1M-Uo?si=xT7OOKlB5SXv2bDf		
10	ऐसी लागी लगन मीरा हो गई मगन	मीरा भजन	भक्ति की पराकाष्ठा को दर्शाने वाला भजन।	https://youtu.be/dnCE-kSHES0?si=yTCI8n72etTZr0XL		
						
📖 Katha						
क्र.सं.	कथा का नाम (Story Name)	कथा का सार (Short Summary)	यूट्यूब लिंक (YouTube Link)			
1	श्री कृष्ण का जन्म	मथुरा की जेल में भगवान विष्णु के 8वें अवतार के रूप में जन्म और कंस के आतंक का अंत।	https://youtu.be/DCkMeVhmiC4?si=yxxvmUMREHx5iv2a			
2	पूतना वध की कथा	कंस द्वारा भेजी गई राक्षसी पूतना का वध कर कान्हा ने अपनी ईश्वरीय शक्ति का परिचय दिया।	https://youtu.be/s6eY3KmckxM?si=snJjDcySedBSkWXG			
3	गोवर्धन पर्वत की कथा	ब्रजवासियों को इंद्र के प्रकोप से बचाने के लिए कान्हा का अपनी उंगली पर पर्वत उठाना।	https://youtu.be/mmVbmowFswQ?si=4Pq4-LiYvLPJNzNH			
4	कालिया नाग मर्दन	यमुना नदी को जहरीले नाग से मुक्त करने के लिए कान्हा का नाग के फन पर नृत्य करना।	https://youtu.be/RsBjj-D9yNA?si=V-Ft5Yq0hG1iLEl7			
						
						
🚩🛕🐚🕉️Navratri / Durga Puja (Devi Maa ki upasna)						
						
दिन	देवी माँ का नाम	मुख्य मंत्र 	आरती और स्तुति 	प्रसिद्ध भजन 		
दिन 1	माँ शैलपुत्री	1. ॐ देवी शैलपुत्र्यै नमः    -   https://youtu.be/LIRZl2SS6gs?si=AVDsYTG_SV2X6A99  2. वन्दे वाञ्छितलाभाय...  - https://youtube.com/shorts/qZoqKbSjQIs?si=_99YpXjMBBPkNUdt 	1. शैलपुत्री माता आरती  - https://youtu.be/5OBU8nYEkSU?si=9mA5hpkOrNkBvnPY  2. दुर्गा चालीसा  - https://youtu.be/AXvmt88JLWg?si=dj_OFw1cqaz-9iex  3. देवी सूक्तम - https://youtu.be/qKKBdPWIQBs?si=EeHNtUNmftY8x5xA  4. जग जननी जय जय - https://youtu.be/f1hFif4_VsI?si=sc8sjCh5oDZeZ3hC	1. शैलपुत्री माँ  - https://youtu.be/HK9_coxwzyU?si=S6DZZa59WPYGjpCX   2 मैया का चोला - https://youtu.be/IHyTxAR51Ow?si=KFSW9gT5HFnFTcTj		
दिन 2	माँ ब्रह्मचारिणी	1. ॐ देवी ब्रह्मचारिण्यै नमः - https://youtu.be/LU3WomO8T78?si=FXzd1nlNA3ZvbEJ1   2. ॐ ऐं नमः  - https://youtu.be/4D5lntlBe38?si=dCdMDFImhjKeeUDI	1. ब्रह्मचारिणी आरती - https://youtu.be/CHwlptJwiFo?si=fJ_A1IxIqqHCSYsw  2. दुर्गा अष्टकम -  https://youtu.be/7hpt3DFGsgk?si=pqAdse07R6H9u0TR  3. देवी कवच -  https://youtu.be/rqgvyF9LBHk?si=Q2TMKsuJzBA3pvYX  4. अर्गला स्तोत्रम - https://youtu.be/YD0eXOX6gbo?si=iXtarLdK_F4Lsi37  5. कीलक स्तोत्रम - https://youtu.be/5hPQUvaahhg?si=pQia2507vSpSvByx	1. ब्रह्मचारिणी अमृतवाणी - https://youtu.be/RlC-lvHnnxI?si=5nlQj80kmuYP3Rn9  2. मेरी माँ के बराबर कोई नहीं - https://youtu.be/zkO8HfmRsD0?si=H3DSNO2ffu8dvy3S  3. ओ माँ मेरी पत्त रखिओ - https://youtu.be/dy2hKmedmnQ?si=LjVypS6avCUu_74W		
दिन 3	माँ चंद्रघंटा	1. ॐ देवी चंद्रघण्टायै नमः - https://youtu.be/iX6fay1rQp8?si=PHZJn3YzY51u5qoi  	1. चंद्रघंटा आरती - https://youtu.be/9oju38z549I?si=xvMdvegCDxrbqSt8                                                                                         2. सिद्ध कुंजिका स्तोत्र - https://youtu.be/m8koxlMwZBQ?si=091dKtyEwS1maH5H  3. अपराजिता स्तोत्र - https://youtu.be/39lDm7fA4ZI?si=9XxzCwsKLE0-C8Pp  4. देवी सूक्तम - https://youtu.be/dhE1JFVfBUQ?si=vqHqUdWO_VaPM1jU	1. शेरावली माँ भजन - https://youtu.be/st7v3f9cDpw?si=CzGNX78ZzGHIL6yM  2. चलो बुलावा आया है - https://youtu.be/UIvpNrP4WQs?si=IxpclbyNXs6Yvz0S  3. तूने मुझे बुलाया शेरावलिए - https://youtu.be/kQiH4Qk63d4?si=jMqG-fSYtL5cqVQ1  4. नंगे नंगे पाँव चला - https://youtu.be/2XpXPwJYoQ8?si=nwOFMHJEy4ukMlHk  5. भोर भई दिन चढ़ गया - https://youtu.be/C9mzqGDyiEQ?si=GoCqcKJ8dvEBHMOs		
दिन 4	माँ कुष्मांडा	1. ॐ देवी कूष्माण्डायै नमः - https://youtu.be/P8gTDIV-aps?si=O56jXq2zbqJr8MI9  	1. कूष्माण्डा माता आरती - https://youtu.be/8cpa-HjoDho?si=O3q4g8RnTLYjx3mc  2. महिषासुर मर्दिनी स्तोत्रम - https://youtu.be/4CKpFcQdJXk?si=u-qW_9IL_CIfIo6H  3. भवानी अष्टकम - https://youtu.be/KHQGmOCP7hQ?si=hUTC0v4AKRussTuv	1. मैया जी का मंदिर सुहाना  - https://youtu.be/12RcOYPkOQE?si=KiO2llcj5PvLPfro  2. माँ मुरादे पूरी करदे - https://youtu.be/B5yQ7xxw294?si=seupbxLZrObJ82ui  3. सबसे बड़ा तेरा नाम - https://youtu.be/a1Nk1z2TsT4?si=B4h60gFXBdmXF67M  4. प्यारा सजा है तेरा द्वार  - https://youtu.be/M0E506vc8r0?si=ZRfs73sgCRoHhB7o  5. माँ शेरावलिए - https://youtu.be/yHNggTfMVz4?si=8VoYpjfLd-WAX1vV		
दिन 5	माँ स्कंदमाता	1. ॐ देवी स्कंदमातायै नमः - https://youtu.be/Z2LC5cixTxk?si=IyYaspKZIgSSG48x 	1. स्कंदमाता आरती - https://youtu.be/xKN1hS24DSk?si=QBAPt_Tb7xcXtS_c  2. ललिता सहस्रनामम - https://youtu.be/ew1yGxycT5c?si=Vx7-WQh5ztd6o-5n  3. श्री सूक्तम - https://youtu.be/OC7LQxuhQUU?si=SLme9NmAV7LlPJHs  4. आनंद मंगल करू आरती - https://youtu.be/EZ4Xk-zThJU?si=E2AlaotKLtiUSCG8	1. बेटा जो बुलाए माँ को - https://youtu.be/1kXKNEk_bH4?si=0yolOSSFl3E8G2h_  2. बिगड़ी मेरी बना दे माँ - https://youtu.be/macdUAgZTpY?si=2XRO73tWj2H9NT90  3. मैया तेरी जय जयकार - https://youtu.be/yutx7mSPrM8?si=fitqBzqFiRmJ0hVA  4. माँ मुझे अपने आँचल मे छुपा ले - https://youtu.be/Ob_IMRI3FHg?si=d1ZZ0Ld8L6LQPAtq		
दिन 6	माँ कात्यायनी	1. ॐ देवी कात्यायन्यै नमः - https://youtu.be/JAdSYIqeQKw?si=bjBjiUk2e4USPI6k 	1. कात्यायनी आरती - https://youtu.be/rBFN2kzA1YM?si=KhP2Bne5x26x2iRR  2. कात्यायनी स्तुति - https://youtu.be/13lFnCyrM70?si=TmJasFPvRaZd02mt  3. सप्तशती 11वां अध्याय - https://youtu.be/A5Tvq4Cd09M?si=gcmnu3lS_6MBXzKa  4. भगवती स्तोत्रम - https://youtu.be/OY9uYvA2H7g?si=DA_D7BIm9dD2b5qn 	1. माँ का दरबार निराला - https://youtu.be/GUTxDyR04GQ?si=p5U6BJkVWWEZGv9o  3. माँ कात्यायनी कथा - https://youtu.be/rul9MvM7nX4?si=dHWAlCVxQfu1Xr1B   4. मेरी झोली छोटी पड़ गई - https://youtu.be/snMrG8Z0PkY?si=Q3op6pCNghOLhtCI 		
दिन 7	माँ कालरात्रि	1. ॐ देवी कालरात्र्यै नमः - https://youtu.be/ozZOCLzqCXQ?si=wLobCfwIjwPCCi_6  2. ॐ ऐं ह्रीं क्लीं चामुण्डायै विच्चे - https://youtu.be/cdlS1XC3Gus?si=a1AHP81ef2aszjqi	1. कालरात्रि आरती - https://youtu.be/MwARD6JbEF0?si=nth79DBBLFvYu4aD  2. काली चालीसा - https://youtu.be/G4vxc1GuqW4?si=-BYdPOajF4LTdZ2U  3. महाकाली स्तोत्रम - https://youtu.be/kYCecFJZMXI?si=8fOgTrJk7WAeRQoj 	1. मंगल की सेवा सुन मेरी देवा - https://youtu.be/1xqYB_oGCo0?si=yz8FoBf7nxC4re2P  2. कालो की काल महाकाली - https://youtu.be/Op3v6u8b20w?si=yghlY3i6UQhaarYK  3. काली माता भजन - https://youtu.be/8xCsb5KdV0w?si=m2mfnHohx7K_W-RU  4. रण में कूद पड़ी महाकाली - https://youtu.be/CQfPnCYVntY?si=jzW0kAVPOYLNSVVO  5. चली आ रही कालका लट खोले - https://youtu.be/Nspt-o92RNw?si=i2VLDbkpboRGJlmw		
दिन 8	माँ महागौरी	1. ॐ देवी महागौर्यै नमः - https://youtu.be/73scy4odMhY?si=3FJZb_sp0DEx1HLr 	1. महागौरी आरती - https://youtu.be/BDxFBlM3k5M?si=I2PGYqtIGGyyLD2E  2. सर्व मंगल मांगल्ये - https://youtu.be/ZdBVEV5u2To?si=403axLe0xm3cV_JT	 1. अष्टमी का दिन आया - https://youtu.be/0ySMH1Iefeo?si=TlmsgiTmBiROC4re  2. कन्या पूजन करो जी - https://youtu.be/PIfZIjyQ_Dg?si=bsGDIjD5RLC5rfYn  3. जय जय अम्बे माँ - https://youtu.be/RgJCuvhu5RQ?si=jPabB-8tHl2JK-0d		
दिन 9	माँ सिद्धिदात्री	1. ॐ देवी सिद्धिदात्र्यै नमः - https://youtu.be/IeIlDGDHkr0?si=NaPwD8M9in6cesoG  2. ॐ श्रीं ह्रीं क्लीं नमः - https://youtu.be/97h4lRquOVg?si=RO_DOBfcWYF8v45G	1. सिद्धिदात्री आरती - https://youtu.be/u9nhUeE4dII?si=HmR-XExFqNBRai1Y  2. सिद्ध कुंजिका स्तोत्र - https://youtu.be/m8koxlMwZBQ?si=XMlKuvT5g8nBCSog  3. सप्तशती पाठ - https://youtu.be/OdtJ3jQuj3I?si=NGu_KhI9MDE1q-Ab  4. क्षमापना स्तोत्रम - https://youtu.be/Ukx6gmhd-pY?si=Tmqf2Gbu0ORFSbuz	1.विसर्जन माँ चली - https://youtu.be/7tOuRS8oyG8?si=0uRCbu6g4vBVbE4R  2. माँ सिद्धिदात्री कथा - https://youtu.be/5L9X--CT8Mg?si=UORsnqd-_4sd3q43  3. मैया सब पे कृपा राखियो हो मां - https://youtu.be/vayIYeTbg1Q?si=f_j3oFpqHo-A0xSb 		
						
						
🏹 Dussehra (Burayi par achayi ki jeet)						
						
🕉️ Mantras						
क्र.सं.	मंत्र का नाम	मुख्य मंत्र (Mantra)	मंत्र का लाभ (Benefits)	यूट्यूब लिंक (YouTube Link)		
1	विजय मंत्र	ॐ रामाय नमः	हर कार्य में सफलता और जीत के लिए।	https://youtu.be/CA8RcKyO0Y4?si=lQGTY9Ov96Uhu8JI		
2	अपराजिता मंत्र	ॐ विजयायै नमः	शत्रुओं पर विजय और कोर्ट-कचहरी में जीत हेतु।	https://youtu.be/L1thhiT_Hq0?si=p77WkcVu8MRuE5Mk		
3	भय नाशक मंत्र	ॐ आपदामपहर्तारं दातारं सर्वसंपदाम्। लोकाभिरामं श्रीरामं भूयो भूयो नमाम्यहम्॥	हर तरह के डर और विपत्ति को दूर करने हेतु।	https://youtu.be/snRINfVgunw?si=OBhIF1xWjPyu43K6		
4	शक्तिदायक मंत्र	ॐ दुं दुर्गायै नमः	शरीर में नई ऊर्जा और साहस भरने के लिए।	https://youtu.be/jB4aaP2X7S4?si=m9_aarWrjCpP8nDx		
5	सिद्धि मंत्र	ॐ हं हनुमते रुद्रात्मकाय हुं फट्	नकारात्मक शक्तियों और नजर दोष से बचने के लिए।	https://youtu.be/vlc0vWvSrOM?si=kqXnkvDI7kec51Je		
6	ग्रह दोष निवारण	ॐ नमो भगवते रामचंद्राय	शनि या अन्य ग्रहों के बुरे प्रभाव को कम करने हेतु।	https://youtu.be/sRjLbmFjjQ0?si=BflcnYp06jrhbI1r		
7	राम गायत्री मंत्र	ॐ दशरथाय विद्महे सीतावल्लभाय धीमहि, तन्नो राम: प्रचोदयात्॥	बुद्धि को सही दिशा देने और धर्म मार्ग पर चलने हेतु।	https://youtu.be/7jwEnIwT_kk?si=Mm_qCEbi9iNrHK62		
						
🔥 Aarti						
क्र.सं.	आरती का नाम	किसके लिए है	क्यों करें? (महत्व)	यूट्यूब लिंक (YouTube Link)		
1	श्री रामचंद्र कृपालु भजु मन	भगवान श्री राम	यह प्रभु राम की सबसे मुख्य स्तुति/आरती है।	https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8		
2	आरती कीजै रामलला की	भगवान श्री राम	दुष्टों का नाश करने वाले प्रभु राम की प्रसन्नता के लिए।	https://youtu.be/3_QR2HxO3N4?si=Yits6lNC08jSD5UK		
3	आरती कीजै हनुमान लला की	हनुमान जी	राम जी के परम भक्त और विजय में सहायक हनुमान जी हेतु।	https://youtu.be/r7GJ8GoGSD8?si=_XwHYxWLE9gLr6gI		
4	अम्बे तू है जगदम्बे काली	माँ दुर्गा	शक्ति की देवी और महिषासुर मर्दिनी की विदाई हेतु।	https://youtu.be/dVTUUtOHUCA?si=Kos_i0o8NA3VrmOj		
5	ओम जय जगदीश हरे	भगवान विष्णु	राम जी विष्णु अवतार हैं, यह सार्वभौमिक सुख-शांति के लिए है।	https://youtu.be/NE3SWh9_vR4?si=oJOVnsbkOB7Qxw5b		
						
📜 Stotram /🙏 Stuti						
क्र.सं.	नाम (Name)	प्रकार (Type)	महत्व और लाभ (Importance)	यूट्यूब लिंक (YouTube Link)		
1	राम रक्षा स्तोत्र	स्तोत्रम	जीवन की सुरक्षा और शत्रुओं से रक्षा के लिए महाकवच।	https://youtu.be/y-Xv63obhKI?si=M5eZNo40oYpESgJA		
2	आदित्य हृदय स्तोत्र	स्तोत्रम	आत्मविश्वास बढ़ाने और सरकारी कार्यों में जीत के लिए।	https://youtu.be/invPCYDaWUE?si=-cwsyKTg-INmshaY		
3	श्री राम स्तुति	स्तुति	(भए प्रगट कृपाला) प्रभु राम की विशेष कृपा पाने हेतु।	https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8		
4	महिषासुर मर्दिनी	स्तोत्रम	(अयि गिरिनन्दिनि) बुराई पर अच्छाई की जीत के लिए।	https://youtu.be/dVTUUtOHUCA?si=Kos_i0o8NA3VrmOj		
5	हनुमान चालीसा	स्तुति	हर बाधा और संकट को तुरंत दूर करने के लिए।	https://youtu.be/AETFvQonfV8?si=YezmW2nYi76Eoi6Q		
6	विष्णु सहस्रनाम	स्तोत्रम	सौभाग्य और सुख-समृद्धि की प्राप्ति के लिए।	https://youtu.be/EvzntcbyjFU?si=hm8jdvkNsk7IYzFJ		
7	राम अष्टकम	स्तोत्रम	(भजे विशेष सुंदरम) राम जी के सुंदर रूप की स्तुति।	https://youtu.be/EvfGBluQkSk?si=7z6NrixCl74aIvH_		
8	बजरंग बाण	स्तुति	असाध्य रोगों और भारी संकटों से मुक्ति के लिए।	https://youtu.be/h1lT6cxwsPw?si=KdhV4ABeZuxVKiuY		
						
🎶 Bhajans						
क्र.सं.	भजन का नाम	गायक/प्रकार	यूट्यूब लिंक			
1	नगरी हो अयोध्या सी	राम भजन	https://youtu.be/ZkKStVgGEJY?si=3ByfjplaH0mUbK5v			
2	मंगल भवन अमंगल हारी	रामायण चौपाई	https://youtu.be/0rWQi2OWezo?si=B6lBpLuUPknXnb2D			
3	मेरे सरकार आए हैं	उत्सव भजन	https://youtu.be/ukq70I4YDP8?si=iYTlYHdKfxHOlv8_			
4	सुख के सब साथी	वैराग्य भजन	https://youtu.be/4VqeqbzJxbc?si=0n0edKyje9U0o6le			
5	राम जी की निकली सवारी	शोभा यात्रा	https://youtu.be/bZ-Zrc-GPoc?si=cw_EX8USJqc4e0KA			
6	ठुमक चलत रामचंद्र	तुलसीदास	https://youtu.be/PT1CwFIoc98?si=Il-i74wqg1etBqxF			
7	दुनिया चले ना श्री राम	हनुमान भजन	https://youtu.be/sDhrWWWBQLI?si=q8A3dtzw-Pz1pxK1			
8	राम जी का नाम लेकर	भक्ति भजन	https://youtu.be/rPUuIMR7IJg?si=Ih0RY7ld8sJvMgQ6			
9	कभी राम बनके कभी श्याम	सर्व-रूप भजन	https://youtu.be/mZjySBOJj10?si=hNqlQH7zayev0e3e			
10	राम नाम के हीरे मोती	सत्संग भजन	https://youtu.be/6BJR_j4FHz4?si=hRLU-bLSvuuKWHgs			
						
📖 Katha						
क्र.सं.	कथा का नाम (Story Name)	कथा का सार (Short Summary)	यूट्यूब लिंक			
1	रावण वध	अधर्म पर धर्म की जीत के रूप में प्रभु राम ने अहंकारी रावण का वध कर सीता माता को मुक्त कराया।	https://youtu.be/MtbVsknZP-A?si=uMbJViu_PvND-iuY			
2	महिषासुर मर्दन	माता दुर्गा ने 9 दिनों के युद्ध के बाद 10वें दिन महिषासुर का वध किया, जिसे विजयादशमी कहते हैं।	https://youtu.be/897iHQ6bPbU?si=yutaXaaJ0l7YzH9U			
						
						
🔱🕉𓆗Maha Shivratri (Bhagwan Shiv ki puja)						
						
🕉️ Mantras						
